id,company,department,job,base,work_begin,work_end,launch_time,dinner_time,wed,fri,workdays,summary,remark,category,suggestion,struct,welfare,is_foreign,domain
96,滴滴,顺风车,前端,北京,10:30,8:00之后，一般是9:00能打车,12:00-14:00,6月7日,否,是,5,,,,,,,,互联网
97,滴滴,网约车交易引擎,后端,北京,10:30,8点开始走，9点全部走,2小时,一个半小时,是,是,5,周报,核心业务、注重稳定性、不太累、没什么太多业务,,,,,,互联网
98,滴滴,用户增长,运营,北京,10：30-11,8开始有人走，9后多,12月14日,17:30,否,可以早点走,5,周报,,,,,,,互联网
99,滴滴,智能引擎,前端研发实习生,北京,10:00,07:00,12:00-14:00,18:00-19:00,否,可以早点早,5,要写周报，入职前一星期写日报,部门很好，比较养老,,,,,,互联网
100,滴滴国际化,客服中台,产品,北京,10:30,07:00,11:30-2:00,18:00-19:00,否,可以早走,5,不用 实习生写 一人只写一点点,部门团队氛围特别好，很养老，忙起来也就八点下班，周会是脑暴，不卷,,,,,,互联网
101,地平线,auto,跑模型的,北京,10:00,20:30,2h,1h,否,否,5,周报+日报,实习,,,,,,互联网
102,地平线,平台技术部,AI,北京,10:00,20:00,11：50-14：00,1h,否,否,5,是,实习,,,,,,互联网
103,地平线,智能驾驶研发一部,后端,北京,10:00,7：00—9：00,12：00—14：00,6：00—7：00,否,否,5,是,一周可申请两到三天在家办公,,,,,,互联网
108,阿里,AE技术部,算法,杭州,10:30之前,8:00-9:00 有事可先走,12到14,6:00以后 20元餐补,否,6点，甚至可以提前走,5,双周报,部门整体作息很好，氛围也很好。但部门间存在政治斗争，有不稳定因素。,,,,,,互联网
109,阿里,cbu,研发,杭州,10,9,12:00-14:00,18:00-19:00,否,6点下班,5,双日报,氛围一般，实习生卷废，正式工下班时间可以到11点之后。卷，人员流动性大，pua。,,,,,,互联网
110,阿里,data,后端,杭州,10-11.30,22:00往后,12点-14点,18点-17点,周四特俗,吃完了就可以走,5,日报，周报，月报,正式员工加班多，实习生还好，导师还不错能学到一点东西，但转正工资也不高，跑路,,,,,,互联网
111,阿里,gts,后端,杭州,10点,11点以后,11.45,6,不,无,5,需要,团队有三个卷王凌晨一点还在批单子,,,,,,互联网
112,阿里,本地生活,后端,,10-10.5,8-9.5，实习时没呆到过9点，8点就走了一批了,2h,看个人,否,可早走,5,,,,,,,,互联网
113,阿里,本地生活,算法,上海,10:30,20:00-22:00,12：00-14：00,18:00-19:00,否,吃完晚饭可以走,5,正式员工周报+月报,氛围不错，有比较完善的文档，新人入门不错，业务压力比较大，有流动,,,,,,互联网
114,阿里,菜鸟,测开,杭州,10:15,无事6，加班9：30-11，周五6点,12到14,17-18,否,是,5,月报,测开还是轻松的，有的部门累一些，不好招人，晋升挺快的，氛围很好,,,,,,互联网
115,阿里,菜鸟,运营管培,杭州,10:00,23:00,不午休,,,六点走,,,,,,,,,互联网
116,阿里,菜鸟-大快递技术部,后端,杭州,9:30-10:00,9:00-10:00,12:00-14:00,06:00,否,可以早走,5,周报,组内老板空降，内斗比较厉害,,,,,,互联网
117,阿里,菜鸟人工智能部（算法）,机器学习算法工程师,杭州,10:00,8:00以后就可以走了,12:00-14:00,18:00-19:00（可以20:00之前回来）,否,18:00走人,5,双周报,不打卡，氛围比较轻松，不太卷，九点以后基本没人了，周末几乎无人加班。但是后端很累，从早到晚开会,,,,,,互联网
118,阿里,菜鸟消费者,产品,杭州,10:00,按规定是18点下班，但一般吃了公司晚饭再待一会儿，七八点走,12.00-14.00,18.00-19.00,无,没事可以六点走,5,,,,,,,,互联网
119,阿里,CBU-C2M事业部,Java开发,杭州,10:00,09:00,12:00--2:00,18:00-19:00,否,6点下班,5,周报,,,,,,,互联网
120,阿里,cco技术部,后端,杭州,10,22:30至上限不定,2个小时,,,可以6点走,,,除了卷，其他都挺好的，9点半走都得偷偷摸摸，但是团队同事都很友好,,,,,,互联网
121,阿里,cco线,开发,杭州,9.30-10.00,9-9.30,12:00-14:0”,18:00,否,是 6点下班,5,一个月日报，周报,团队氛围好 不用打卡,,,,,,互联网
122,阿里,cco线,开发,杭州,9.30-10.00,9-9.30,12:00-14:0”,18:00,否,是 6点下班,5,一个月日报，周报,团队氛围好 不用打卡,,,,,,互联网
123,阿里,CFO产品技术,后端,杭州,10,9,12：00-14：00,18-19,否,是,5,双周报,还行，希望能早点下班,,,,,,互联网
124,阿里,cro线,安全,上海,10-10:30,有事就6点，正式员工7、8点开始撤退,12月14日,18,否,走得早,5,周报,,,,,,,互联网
125,阿里,CRO线,算法,杭州,10:00,09:00,12:00,06:00,否,是,5,需要周报/双周报,pua有一些，领导都喜欢听话的员工，不喜欢有个性的员工,,,,,,互联网
126,阿里,cto数据技术与产品部,后端,杭州,9:30-10:30，不打卡,6点后可以走，一般都是9点,12：00~14：00,18:00,可选择参加活动日,5点-6点可以走,5,双周报,几个主管都很好，大团队氛围也不错，没有明显感受到pua。但做的是toB，感觉日活不高~,,,,,,互联网
127,阿里,cto线 AI国际事业部 广告工程,后端,北京,10:00,21:00左右，可早走一会,12到14点,18到19点,是，七点下班或者集体活动,七点多下班,五天,周报,负责Lazada广告工程架构，团队较新，组内高P较多。促销节日需要值班,,,,,,互联网
128,阿里,CTO线淘系技术部,测开,杭州,10:00,9:00-10:00,12:00-14:00,18:00-19:00,没事的话可以六点多走,没事可以六点多走,5,周报,组内氛围好,,,,,,互联网
129,阿里,ICBU,后端,深圳,9:30前,21点后,1.5h,1h,否,可以六点走,5,双周报，敏捷晨会,,,,,,,互联网
130,阿里,大进口,后端,杭州,10点左右,不打卡，一般八九点以后,12:00-14:00,六点后随意,否,18点走,5,双周报,氛围还好，看老板,,,,,,互联网
131,阿里,达摩院-IIC智能服务事业部,C++研发,杭州,10:00,21:00左右,12:00-14:00,6点,一部分会早走,绝大部分会早走,5,日报(个人感觉不是很严格),时间相对自由，但是老人和社招较多，应届生和实习生需要较强自学能力,,,,,,互联网
132,阿里,钉钉,测开,杭州,9.3,最近都6点，8点没人了,12,6,运动日,每天都周五,5,双周报,gwy 作息，不接测试业务，全部开发工具，因此不用加班,,,,,,互联网
133,阿里,钉钉,客户端,杭州,9点半,9点,12点,6点,是，实习我没提前走,是,5,双周报,氛围不错，技术可以，正式员工活有点多,,,,,,互联网
134,阿里,钉钉IM Core,后端,杭州,9.30前,21,1.5h,6.00-7.00,活动日,可以,5,双周周报,比较卷 oncall  任务多 比较push 偶尔压测到凌晨,,,,,,互联网
135,阿里,钉钉-基础平台,开发,杭州,9:00-9:30,19:00以后主管就溜了，陆陆续续其他人跑路,11:50-13:50,17:50-19:00,否,18:00蹭完晚饭后就可以溜了,5,双周报,每周二、四晨会，组里都是老员工，有背薪风险,,,,,,互联网
136,阿里,阿里妈妈,算法,北京,10,9.开始下班 组里基本卷到九点半十点,同上,六点开始,否,可以六点走,5,双周,厕所不能摸鱼 中饭餐补税前25 晚饭餐补25点券 九点后打车免费 婚假两周 outing算年假里面,,,,,,互联网
137,阿里,阿里云,后端,杭州,10,9,1.5h,1h,是,6点,5,周报,氛围不错，但是需求不少,,,,,,互联网
138,阿里,阿里云,后端,北京,10,大部分人8点，有事直接提前走没人管,12点-14点,6点,否,否,5,周报,整层楼随时都有一半工位空着，不知道人去哪儿了,,,,,,互联网
139,阿里,阿里云-边缘云原生,C++开发工程师,杭州,10:00,9:00（）,12:00-2:00午休吃饭,18:00-19:30,有时可以早走，看情况,6点下班,5,周报,小组用的语言是go，氛围不错，师兄都挺好的。业务跟k8s，服务网格相关，偏基架，为CDN，边缘云做服务。,,,,,,互联网
140,阿里,阿里云操作系统,内核,上海,10,9,2,1,周三6点,6点,5,单周报,,,,,,,互联网
141,阿里,阿里云GTS,后端,杭州,10,9,,,,,,,,,,,,,互联网
142,阿里,阿里云gts,前端,杭州,09:30,6:00-8:00,12:00-14:00,18:00-19:00,否,6点下班,5,周报,技术一般，氛围不错，适合养老,,,,,,互联网
143,阿里,阿里云gts,前端,杭州,09:30,6：00-9：00不等,11：50-12：30,6,否,随意,5,前一个月双日报，后面周报,还行，不卷,,,,,,互联网
144,阿里,阿里云-基础产品事业部,后端,杭州,10:00,6：00-8：00,2h,随意,每天都可以六点走,每天都可以六点走,5,日报,部门在阿里云极为少见，特殊原因工作自由，没事六点就可以背书包走，绝对的wlb，技术中等,,,,,,互联网
145,阿里,阿里云基础产品事业部,内核,杭州,10：00前,8点半左右开始走,2小时,一个小时,否,6点,5天,不需要,,,,,,,互联网
146,阿里,阿里云基础产品事业部,研发,北上杭,10:00,09:00,12:00-14:00,06:00-7:00,周二特殊,6:00下班,5,是,有卷王9107也有摸鱼王1065,,,,,,互联网
147,阿里,阿里云基础设施大计算,后端,杭州,10,9,11:45,17:45,是,是,5,是,,,,,,,互联网
148,阿里,阿里云-容器服务,基础平台研发,北京,11:00之前,8:30-9:30,12:00-14:00,18:00-19:30,看情况,基本所有人都早走,5,无,,,,,,,互联网
149,阿里,阿里云事业部,内核开发,杭州,9点晨会,20:30,12：00~14：00,18:00,否,,5,双周报,,,,,,,互联网
150,阿里,阿里云网络,SRE,杭州,10,9,11:50-14:00,06:20,否,可以六点走,5,周报,大佬同事比较多,,,,,,互联网
151,阿里,飞猪,产品,杭州,9：30-10：00,通常10点，11点多也有,2h,1h,豆,6点,5,写,卷,,,,,,互联网
152,阿里,飞猪,后端,杭州,10,09:30,12.00～14:00,18,否,6点走,5,新人需要,氛围还行,,,,,,互联网
153,阿里,飞猪,前端,杭州,10,6,2h,2h,必须走,早走,5,不用,话不多说,,,,,,互联网
154,阿里,高德,前端,北京,10.30之前,9,12-2.00,6月7日,否,5.30下班,5,实习生转正答辩之前要,,,,,,,互联网
155,阿里,高德,前端,北京,十点,九点,12点到14点,18-19,否,六点可以走,5,周报,小组氛围感觉可以，大主管感觉人也不错，周二晚饭可以去健身房运动,,,,,,互联网
156,阿里,国际化中台,后端,杭州,10:00-10:30,6-9 大部分八点左右,12:00-2:00,6:00-7:00,否,6点下班,5天,实习期间不写,组内氛围不错，但部门相对边缘,,,,,,互联网
157,阿里,盒马,测开,杭州,10,10,2h,不固定,否,6点,5,周报,,,,,,,互联网
158,阿里,ICBU技术部-广告,后端,杭州,09:40,10:30,12:00~14:00F:\sdmiflmu\2024.gif,18:00,否,可以6点走，但大家一般卷到8点,5,新人日报/所有人周报/每日晨会,内卷严重，活多人少，P6晋升机会渺茫,,,,,,互联网
159,阿里,考拉,数据,杭州,10,9,12:00-13:30,18:00-19:30,是,是,5,否,很棒,,,,,,互联网
160,阿里,蚂蚁财富技术部,后端,北京,10,9点后 周三周五6点,12到14,18,是,是,5,不用,可能会需要出差杭州，不太卷,,,,,,互联网
161,阿里,蚂蚁cto,安全,杭州,09:30,7点左右领导走人,12到14,18点,否,可以早走,5,只有月报,主管nice，有独立房间作为实验室，氛围不错,,,,,,互联网
162,阿里,蚂蚁cto,研发,北京,10点左右,9点后 有事能早走,12-1.30,6月8日,否,是 可以六点就走,5,需要,,,,,,,互联网
163,阿里,蚂蚁cto-数字化管理技术部,后端,杭州,10,9-10（某些组很卷）,12-13.30,18-19,分组,分组,5,无,有的组卷麻了，有的组还可以 不过业务不怎么样,,,,,,互联网
164,阿里,蚂蚁-体验技术部,前端,上海,10:00,8月10日,2h,1h,否,可以早走,5,,,,,,,,互联网
165,阿里,蚂蚁支付宝,测开,杭州,9点半,10点,12.00-14.00,6,是 可以去爬山,可以七点走,5,日报,氛围不错 技术好 师兄人不错 就是太卷,,,,,,互联网
166,阿里,摩酷,开发,杭州,09:30,19:00,12:00,18:00”,否,吃完饭走,5,双周报,,,,,,,互联网
167,阿里,企业智能,后端,杭州,9月10日,8月10日,12月14日,18-19,大部分组特殊,6点下班,5,写,经常oncall,,,,,,互联网
168,阿里,数据产品技术部,后端,杭州,10,9,2h,1h,否,6点下班,5,,,,,,,,互联网
169,阿里,数据技术产品部,算法,杭州,10,9,2h,1h,无,周五6点可走,5,否,不卷，但技术一般,,,,,,互联网
170,阿里,数据技术及产品部,后端,杭州,9.3,21点,2小时,1小时,是,是,5,周报,,,,,,,互联网
171,阿里,数字供应链,产品,杭州,10,9,2h,1h,否,6点走,5,周报,,,,,,,互联网
172,阿里,数字供应链,后端,杭州,10,,11.50-14.00,6月7日,周三运动之夜,6点下班,5,两周一次双周报,同事领导挺好的，聚餐多，部门人员流动较大，适当考虑,,,,,,互联网
173,阿里,数字供应链,后端,杭州,10点,9到10点,12点到2点,6点,运动日 6点可以跑路或者一起打球,6点下班，有事的话可以三点后就走,5,每天早上10分钟站会，双周报，同老员工,所在的组很不错，但是大部门很卷,,,,,,互联网
